Filename,Touches
gpslogger/src/main/java/com/mendhak/gpslogger/views/component/ExpandableTextView.java,3
gpslogger/src/main/java/com/mendhak/gpslogger/common/FifoDeque.java,2
gpslogger/src/main/java/com/mendhak/gpslogger/common/AppCompatActivityMenuKeyInterceptor.java,4
gpslogger/src/main/java/com/mendhak/gpslogger/loggers/PlainTextFileLogger.java,5
gpslogger/src/main/libs/activation.jar,2
gpslogger/src/main/libs/additionnal.jar,2
gpslogger/src/main/libs/dropbox-android-sdk-1.6.3.jar,2
gpslogger/src/main/libs/mail.jar,2
gpslogger/src/main/libs/android-async-http-1.4.1.jar,2
gpslogger/src/main/java/com/mendhak/gpslogger/IGpsLoggerServiceClient.java,16
gpslogger/src/main/java/com/mendhak/gpslogger/common/IActionListener.java,4
gpslogger/src/main/java/com/mendhak/gpslogger/loggers/customurl/HttpUrlLogger.java,7
gpslogger/src/main/java/com/mendhak/gpslogger/common/events/AutoEmailEvent.java,2
gpslogger/src/main/java/com/mendhak/gpslogger/common/events/CustomUrlLoggedEvent.java,2
gpslogger/src/main/java/com/mendhak/gpslogger/common/events/DropboxEvent.java,2
gpslogger/src/main/java/com/mendhak/gpslogger/common/events/FtpEvent.java,2
gpslogger/src/main/java/com/mendhak/gpslogger/common/events/GDocsEvent.java,2
gpslogger/src/main/java/com/mendhak/gpslogger/common/events/OpenGTSLoggedEvent.java,2
gpslogger/src/main/java/com/mendhak/gpslogger/common/events/OpenStreetMapEvent.java,2
gpslogger/src/main/java/com/mendhak/gpslogger/NavigationDrawerFragment.java,4
gpslogger/src/main/java/com/mendhak/gpslogger/loggers/customurl/CustomUrlLoggerActivity.java,6
gpslogger/src/main/java/com/mendhak/gpslogger/settings/UploadSettingsActivity.java,6
gpslogger/src/main/java/com/mendhak/gpslogger/views/component/ToggleComponent.java,5
gpslogger/src/main/libs/dropbox-android-sdk.jar,2
gpslogger/src/test/java/com/mendhak/gpslogger/GpsMainActivityTests.java,18
gpslogger/src/main/java/com/mendhak/gpslogger/settings/LoggingSettingsActivity.java,19
gpslogger/src/main/java/com/mendhak/gpslogger/senders/email/AutoEmailActivity.java,7
gpslogger/src/main/java/com/mendhak/gpslogger/senders/ftp/AutoFtpActivity.java,7
gpslogger/src/main/java/com/mendhak/gpslogger/senders/opengts/OpenGTSActivity.java,6
gpslogger/src/main/java/com/mendhak/gpslogger/common/FileDialog/FileDialog.java,6
gpslogger/src/main/java/com/mendhak/gpslogger/common/FileDialog/SelectionMode.java,4
gpslogger/src/main/java/com/mendhak/gpslogger/settings/GeneralSettingsActivity.java,6
gpslogger/src/main/java/com/mendhak/gpslogger/senders/ftp/Ftp.java,3
gpslogger/src/main/java/com/mendhak/gpslogger/loggers/OpenGTSLogger.java,4
gpslogger/src/main/java/com/mendhak/gpslogger/common/GpsRollingFileAppender.java,4
gpslogger/src/main/java/com/mendhak/gpslogger/senders/dropbox/DropBoxAuthorizationActivity.java,4
gpslogger/src/main/java/com/mendhak/gpslogger/senders/gdocs/GDocsSettingsActivity.java,4
gpslogger/src/main/java/com/mendhak/gpslogger/senders/opengts/GpxReader.java,2
gpslogger/src/main/java/com/mendhak/gpslogger/senders/osm/OSMAuthorizationActivity.java,4
gpslogger/src/test/java/com/mendhak/gpslogger/loggers/GpxLoggerTests.java,2
gpslogger/src/test/java/GpsMainActivityTests.java,2
GPSLogger/src/com/mendhak/gpslogger/GpsMainActivity.java,102
GPSLogger/src/com/mendhak/gpslogger/GpsSettingsActivity.java,44
GPSLogger/src/com/mendhak/gpslogger/common/DebugLogger.java,7
google-play-services_lib/src/android/UnusedStub.java,3
gpslogger/src/main/libs/icons/accuracy.xcf,1
gpslogger/src/main/libs/icons/annotate2.xcf,1
gpslogger/src/main/libs/icons/duration.xcf,1
gpslogger/src/main/libs/icons/ic_action_one.xcf,1
gpslogger/src/main/libs/icons/share.xcf,1
gpslogger/src/main/libs/icons/singlepoint.xcf,1
gpslogger/src/main/libs/icons/upload.xcf,1
GPSLogger/src/com/mendhak/gpslogger/senders/gdocs/GDocsHelper.java,21
GPSLogger/src/com/mendhak/gpslogger/senders/gdocs/GDocsSettingsActivity.java,15
GPSLogger/src/com/mendhak/gpslogger/common/Session.java,18
GPSLogger/src/com/mendhak/gpslogger/common/Utilities.java,49
GPSLogger/src/com/mendhak/gpslogger/loggers/customurl/HttpUrlLogger.java,8
GPSLogger/src/com/mendhak/gpslogger/senders/FileSenderFactory.java,12
GPSLogger/src/com/mendhak/gpslogger/common/AppSettings.java,29
GPSLogger/src/com/mendhak/gpslogger/loggers/FileLoggerFactory.java,21
GPSLogger/src/com/mendhak/gpslogger/loggers/customurl/CustomUrlLoggerActivity.java,5
GPSLogger/src/com/mendhak/gpslogger/GpsLoggingService.java,72
GPSLogger/src/com/mendhak/gpslogger/senders/ftp/AutoFtpActivity.java,5
GPSLogger/src/com/mendhak/gpslogger/senders/ftp/Ftp.java,4
GPSLogger/src/com/mendhak/gpslogger/senders/ftp/FtpHelper.java,10
GPSLogger/src/com/mendhak/gpslogger/senders/dropbox/DropBoxHelper.java,11
GPSLogger/src/com/mendhak/gpslogger/senders/osm/OSMHelper.java,13
GPSLogger/src/com/mendhak/gpslogger/common/FileDialog/FileDialog.java,1
GPSLogger/src/com/mendhak/gpslogger/common/FileDialog/SelectionMode.java,1
GPSLogger/src/com/mendhak/gpslogger/common/RejectionHandler.java,4
GPSLogger/src/com/mendhak/gpslogger/loggers/HttpUrlLogger.java,3
GPSLogger/src/com/mendhak/gpslogger/loggers/Gpx10FileLogger.java,27
GPSLogger/src/com/mendhak/gpslogger/IGpsLoggerServiceClient.java,6
GPSLogger/src/com/mendhak/gpslogger/senders/osm/OSMAuthorizationActivity.java,8
GPSLogger/src/com/mendhak/gpslogger/Faqtivity.java,3
GPSLogger/src/com/mendhak/gpslogger/senders/dropbox/DropBoxAuthorizationActivity.java,12
GPSLogger/src/com/mendhak/gpslogger/senders/email/AutoEmailActivity.java,11
GPSLogger/src/com/mendhak/gpslogger/senders/opengts/OpenGTSActivity.java,6
GPSLogger/src/com/mendhak/gpslogger/loggers/Kml22FileLogger.java,13
GPSLogger/src/com/mendhak/gpslogger/loggers/OpenGTSLogger.java,5
GPSLogger/src/com/mendhak/gpslogger/loggers/PlainTextFileLogger.java,9
GPSLogger/src/com/mendhak/gpslogger/senders/opengts/GpxReader.java,6
GPSLogger/src/com/mendhak/gpslogger/common/OpenGTSClient.java,5
GPSLogger/src/com/mendhak/gpslogger/GpsLoggerApplication.java,7
GPSLogger/src/com/mendhak/gpslogger/senders/AlarmReceiver.java,4
GPSLogger/src/com/mendhak/gpslogger/GeneralLocationListener.java,5
GPSLogger/src/com/mendhak/gpslogger/StartupReceiver.java,3
GPSLogger/src/com/mendhak/gpslogger/common/IActionListener.java,3
GPSLogger/src/com/mendhak/gpslogger/common/IMessageBoxCallback.java,3
GPSLogger/src/com/mendhak/gpslogger/loggers/IFileLogger.java,6
GPSLogger/src/com/mendhak/gpslogger/senders/IFileSender.java,5
GPSLogger/src/com/mendhak/gpslogger/senders/ZipHelper.java,5
GPSLogger/src/com/mendhak/gpslogger/senders/email/AutoEmailHelper.java,17
GPSLogger/src/com/mendhak/gpslogger/senders/email/Mail.java,5
GPSLogger/src/com/mendhak/gpslogger/senders/opengts/OpenGTSHelper.java,4
GPSLogger/src/com/mendhak/gpslogger/shortcuts/ShortcutCreate.java,3
GPSLogger/src/com/mendhak/gpslogger/shortcuts/ShortcutStart.java,2
GPSLogger/src/com/mendhak/gpslogger/shortcuts/ShortcutStop.java,2
